en,es
Tom's death came as a surprise.,La muerte de Tom vino de sorpresa.
Tom learns pretty fast.,Tom aprende bastante rápido.
They look smashing.,Se ven estupendos.
This is raw meat.,Esto es carne cruda.
Tom needs to see a doctor.,Tom necesita ver a un médico.
I decided to study all night long.,Decidí estudiar la noche entera.
I couldn't sleep well last night.,No pude dormir bien anoche.
You can put it there.,Lo pueden dejar allí.
What on earth is going on here?,"Pero, ¿qué demonios pasa aquí?"
Why is that?,¿Por qué pasa eso?
"I invited twelve people to my party, but one could not come.","Invité a doce personas a mi fiesta, pero una no pudo venir."
We need more workers.,Necesitamos más empleados.
Have you framed those paintings I brought in last week?,¿Has enmarcado esas pinturas que te traje la semana pasada?
Have you heard from him?,¿Has sabido algo de él?
We're still checking.,Todavía estamos mirando.
Would you like to eat something?,¿Quieres comer algo?
Tom paid way too much for that old car.,Tom pagó demasiado por este carro viejo.
"Since it was Sunday, the store was closed.","Como era domingo, la tienda estaba cerrada."
Tom and Mary were working together.,Tom y Mary estaban trabajando juntos.
I worked all this week.,Trabajé toda esta semana.
Why did you kiss Tom?,¿Por qué besaste a Tom?
He will make you eat dirt.,Te hará morder el polvo.
"Without a passport, leaving a country is out of the question.",Está fuera de discusión salir del país sin pasaporte.
"We had some good times here, didn't we?","Hemos pasado buenos ratos aquí, ¿a que sí?"
What is missing?,¿Qué falta?
I'm a geologist.,Soy geólogo.
We didn't break up.,No hemos roto.
Tom couldn't remember what Mary had told him to do.,Tom no se podía acordar de qué le había dicho Mary que hiciera.
You can't be hungry. You've just had dinner.,No puedes tener hambre. Acabas de cenar.
He spoke for one hour.,Él habló por una hora.
Are you going to go?,¿Vas a ir?
I'm not busy today.,Hoy no estoy ocupada.
I was sad.,Estuve triste.
I think about you all the time.,Pienso en usted todo el tiempo.
They were criticizing each other.,Ellos se estaban criticando el uno al otro.
How do you intend to fix this?,¿Cómo pretendes arreglar esto?
My son is too skinny.,Mi hijo es demasiado flaco.
That's not my mistake.,No es culpa mía.
I know it's hot.,Sé que está caliente.
He left the class because he was feeling sick.,Se ausentó de la clase porque se sentía enfermo.
I'll call you if I hear anything.,Lo voy a llamar si escucho algo.
"You lost, didn't you?","Has perdido, ¿verdad?"
I have to send these letters.,He de enviar estas cartas.
Won't you come with me?,¿No os venís conmigo?
Don't be shy about speaking in front of people.,No tengas vergüenza de hablar en frente de personas.
We don't have toilet paper.,No tenemos papel higiénico.
I remember seeing her before.,Recuerdo haberla visto antes.
He did what his conscience dictated.,Hizo lo que le dictó su consciencia.
She talked him into buying a new house.,Ella lo convenció de comprar una casa nueva.
He failed the entrance exam.,Él suspendió el examen de acceso.
That country's economy is growing.,La economía de ese país está creciendo.
We'll fight to the last.,Lucharemos hasta el final.
Tom can barely walk.,Tom apenas puede caminar.
"Sorry, what's your name?","Perdona, ¿cómo te llamas?"
She is my girlfriend.,Ella es amiga mía.
Would you mind if I went home early?,¿Te importaría si me voy temprano a casa?
She's tall and beautiful.,Es alta y linda.
There are a few problems.,Existen algunos problemas.
Everybody jumped.,Todos saltaron.
Continue digging.,Sigue cavando.
I went to church every Sunday when I was a boy.,"Cuando era niño, iba a la iglesia todos los domingos."
I am standing in the middle of the schoolyard.,Estoy parado en el medio del patio.
Don't let go. Hold on tight.,No te sueltes. Afírmate bien.
The trouble is that we are short of money.,El problema es que nos falta dinero.
I feel bad today.,Hoy me siento mal.
That's the attitude.,Esa es la actitud.
I hope it won't be long before I hear from her.,Espero que no pase mucho tiempo antes de oír de ella.
Tom agreed to help Mary with her work.,Tom estuvo de acuerdo en ayudar a Mary con su trabajo.
He said he would run 200 kilometers in a day and he did.,Dijo que correría 200 kilómetros en un día y lo hizo.
Go to your room now!,¡Vete a tu habitación ya!
I'm sure you'll be very comfortable there.,Estoy segura de que estarás muy cómoda allá.
What do you think now?,¿Qué estás pensando?
Tom can't afford that kind of computer.,Tom no puede permitirse ese tipo de ordenador.
"He said, ""So long, my friends,"" and left us.","Él dijo: ""adiós, mis amigos"", y partió."
Tom abandoned his children.,Tom abandonó a sus hijos.
Are you coming with me?,¿Vienes conmigo?
They greeted me.,Ellos me saludaron.
I don't know what has happened to him.,No sé qué le pasó.
We accept all major credit cards.,Aceptamos todas las tarjetas de crédito importantes.
I'm unemployed.,Estoy parado.
You speak very slowly.,Habla muy despacio.
There are no women aboard this ship.,No hay mujeres a bordo de este barco.
Tom isn't the kind of person who blames others for his mistakes.,Tom no es la clase de persona que culpa a los otros por sus propios errores.
I won an award as well.,Yo también recibí un premio.
The question of Tom's ability came up.,La pregunta sobre el talento de Tom surgió.
My suitcase is broken.,Mi maleta está rota.
Tom is the man Mary met the other day.,Tom es a quien Mary encontró el otro día.
Tom is coming next Monday.,Tom vendrá el próximo lunes.
There's a post office at the end of the street.,Hay una oficina de correos al final de la calle.
I knew you couldn't wait.,Sabía que no podías esperar.
They both want to say something.,Ambos quieren decir algo.
"Since it was so hot, we went swimming.","Como hacía tanto calor, fuimos a nadar."
Tom is younger than you are.,Tom es más joven que tú.
"A big bomb fell, and a great many people lost their lives.",Cayó una gran bomba y muchísimas personas murieron.
"Be quick, or you will miss the train.",Apresúrate o te vas a perder el tren.
Everybody knows that he is still alive.,Todo el mundo sabe que sigue vivo.
It's hard to relax when you have a headache.,Es difícil relajarse cuando te duele la cabeza.
No one can figure it out.,Nadie puede descubrir la solución.
They were surprised.,Estaban sorprendidos.
I saw a boy knocked down by a car.,He visto un chico atropellado por un auto.
Don't treat me as if I were a child.,No me trates como si fuera un niño.
Wake me if you need me.,Despiértame si me necesitas.
I've told you over and over again not to do that.,Te he dicho una y otra vez que no hagas eso.
"Just between you and me, do you love my sister?","Entre vosotros y yo, ¿os gusta mi hermana?"
Why did Tom call you?,¿Por qué te llamó Tom?
Few of my friends have two cars.,Pocos de mis amigos tienen dos automóviles.
The news of his death spread.,La noticia de su muerte se difundió.
We marched in the rain.,Marchamos bajo la lluvia.
I've spent all the money.,Gasté todo el dinero.
Don't disobey the rules.,No incumplas las normas.
"You're sweating like a pig, Tom.","Estás sudando como un cerdo, Tom."
Japan is famous for its scenic beauty.,Japón es famoso por la belleza de sus paisajes.
It was gambling that brought about his ruin.,Fueron las apuestas que lo llevaron a su ruina.
"Tom is always studying, but he never seems to learn anything.","Tom estudia todo el tiempo, pero jamás parece aprender nada."
This product is made in Italy.,Este producto es hecho en Italia.
"If there's anything at all that you don't understand, you can ask me anytime.","Si hay algo que no entiendas, puedes consultarme en cualquier momento."
Those shoes were made in Italy.,Esos zapatos fueron fabricados en Italia.
"On the following day, we all had terrible hangovers.","Al día siguiente, todos teníamos una resaca tremenda."
Sanitary conditions in the refugee camps were terrible.,Las condiciones sanitarias en los campamentos de refugiados eran horribles.
Can you ride a horse?,¿Sabes montar a caballo?
That wine is good.,Ese es un buen vino.
The United States has close ties to Mexico.,Los Estados Unidos tienen fuertes lazos con México.
Tom may use my video camera if he wants to.,Tom puede usar mi cámara de vídeo si quiere.
I told the policeman what I knew.,Le dije al policía lo que sabía.
Twenty families live here.,Veinte familias viven aquí.
Tom can't do his job without an internet connection.,Tom no puede hacer su trabajo sin conexión a Internet.
I passed behind him without being noticed.,Pasé detrás de él sin que se diera cuenta.
That's common sense.,Eso es sentido común.
I bought a red sports car.,Yo compré un auto deportivo rojo.
He pretended to be sleeping.,Él fingió estar dormido.
I'll see you in my dreams.,Te veré en mis sueños.
Her laughter echoed through the house.,Su carcajada hizo eco por toda la casa.
Tom arrived late at the station.,Tom llegó tarde a la estación.
I feel safe with you.,Contigo me siento seguro.
I'm worried about everybody.,Estoy preocupada por todos.
I hate taking notes.,Odio tomar notas.
I forgot all about that.,Me olvidé todo sobre eso.
What does Tom do on Mondays?,¿Qué hace Tom los lunes?
It seems that Tom did that yesterday.,Parece que Tom hizo eso ayer.
Do you see the difference?,¿Ven la diferencia?
Birds of a feather flock together.,Dios los da y ellos se juntan.
This looks good.,Esto va bien.
I thought that you'd be interested in this.,Pensé que le interesaría.
I have a bruise.,Tengo un moretón.
That was cooked in oil.,Eso fue cocinado en aceite.
Everyone hesitated.,Todos dudaron.
Don't worry. I'm a doctor.,"No se preocupen, soy médico."
The workers receive their wages every Friday.,Los trabajadores reciben la paga todos los viernes.
Tom is awesome.,Tom es genial.
Tom and Mary are very good friends.,Tom y Mary son muy buenos amigos.
I'll always remember you.,Siempre me acordaré de ti.
How melodramatic!,¡Qué melodramático!
What time does the game start?,¿A qué hora comienza el partido?
I represented my university at the conference.,Representé a mi universidad en la conferencia.
Does anyone feel sick?,¿Alguien se siente mal?
Tom thinks Mary may have an eating disorder.,Tom piensa que quizá María tenga un desorden alimenticio.
Tom doesn't know if he'll be able to visit us next Monday.,Tom no sabe si nos podrá visitar el próximo lunes.
I will help you if possible.,Yo te ayudo si es posible.
He took me to the station.,Él me llevó a la estación.
It's a sunny day.,Es un día soleado.
There is an urgent need for experienced pilots.,Hay una necesidad urgente de pilotos con experiencia.
